Time,Start side,Left duration (min),Right Duration (min),Total duration (min),Left Amount (ml),Right Amount (ml),Total amount (ml),Note
"9/8/23 2:01 PM","","7",,"7",,,,""
"9/8/23 5:52 PM","","10",,"10",,,,""
"9/8/23 5:52 PM","","10","10","20",,,,""
"9/8/23 5:54 PM","Left","13",,"13",,,,""
"9/8/23 8:22 PM","Right","12","10","22",,,,""
"9/9/23 4:46 PM","Left","7",,"7",,,,""
"9/11/23 8:49 AM","","7",,"7",,,,""
"9/23/23 6:26 PM","Right","10","7","17",,,,""
"9/24/23 10:32 AM","Left","8","6","14","1,331","887","2,218",""
"9/28/23 6:36 PM","Right","6","6","12",,,,""
"9/29/23 2:17 PM","Left","7","7","14",,,,""
"9/30/23 10:00 AM","Left","10",,"10",,,,""
"9/30/23 1:43 PM","Left","12",,"12",,,,""
"9/30/23 6:18 PM","Left","10",,"10",,,,""
"9/30/23 9:29 PM","Left","12",,"12",,,,""
"10/1/23 3:44 AM","Left","11","5","16",,,,""
"10/2/23 6:12 PM","Right","15","15","30",,,,""
"10/5/23 10:36 AM","Left","12","6","18",,,,""
"10/8/23 1:41 PM","Right",,"8","8",,,,""
"10/24/23 4:53 AM","Left","7","2","9",,,,""
"10/26/23 4:35 AM","Left","8",,"8",,,,""
"10/26/23 7:59 PM","","8","8","16",,,,""
