Time,Start side,Left duration (min),Right Duration (min),Total duration (min),Left Amount (ml),Right Amount (ml),Total amount (ml),Note
"8/9/23 2:01 pm","","7",,"7",,,,""
"8/9/23 5:52 pm","","10",,"10",,,,""
"8/9/23 5:52 pm","","10","10","20",,,,""
"8/9/23 5:54 pm","Left","13",,"13",,,,""
"8/9/23 8:22 pm","Right","12","10","22",,,,""
"9/9/23 4:46 pm","Left","7",,"7",,,,""
"11/9/23 8:49 am","","7",,"7",,,,""
"23/9/23 6:26 pm","Right","10","7","17",,,,""
"24/9/23 10:32 am","Left","8","6","14","1,331","887","2,218",""
"28/9/23 6:36 pm","Right","6","6","12",,,,""
"29/9/23 2:17 pm","Left","7","7","14",,,,""
"30/9/23 10:00 am","Left","10",,"10",,,,""
"30/9/23 1:43 pm","Left","12",,"12",,,,""
"30/9/23 6:18 pm","Left","10",,"10",,,,""
"30/9/23 9:29 pm","Left","12",,"12",,,,""
"1/10/23 3:44 am","Left","11","5","16",,,,""
"2/10/23 6:12 pm","Right","15","15","30",,,,""
"5/10/23 10:36 am","Left","12","6","18",,,,""
"8/10/23 1:41 pm","Right",,"8","8",,,,""
"24/10/23 4:53 am","Left","7","2","9",,,,""
"26/10/23 4:35 am","Left","8",,"8",,,,""
"26/10/23 7:59 pm","","8","8","16",,,,""
