id,baby_id,start_time,end_time,feeding_type,breast_started,left_breast_duration,right_breast_duration,volume_offered_ml,volume_consumed_ml,formula_type,food_items,appetite,notes,created_at,updated_at
ecf46924-0e7a-4d5d-adb1-49fe6c1bb6bb,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-03 17:38:00,2023-09-03 17:57:00,BREAST,RIGHT,,19,,,,,,ns,2023-09-03 17:38:00,2023-09-03 17:38:00
b97856ce-b9b6-46ab-8fec-3a1424e18ab4,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-03 18:05:00,2023-09-03 18:16:00,BREAST,LEFT,11,,,,,,,,2023-09-03 18:05:00,2023-09-03 18:05:00
f12904ec-f7e2-4da2-a6e3-3c4aca5b1408,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-03 19:24:00,2023-09-03 19:45:00,BREAST,LEFT,8,13,,,,,,,2023-09-03 19:24:00,2023-09-03 19:24:00
6c9ce3ba-aace-4220-9486-8156d163383a,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-03 20:17:00,2023-09-03 20:44:00,BREAST,RIGHT,,27,,,,,,,2023-09-03 20:17:00,2023-09-03 20:17:00
036d9111-7774-4ef5-b5b8-2b712209a464,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-03 21:10:00,2023-09-03 21:22:00,BREAST,LEFT,12,,,,,,,,2023-09-03 21:10:00,2023-09-03 21:10:00
4f5a056a-b1e2-456b-9b37-32c0278280bd,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-03 22:45:00,2023-09-03 23:23:00,BREAST,RIGHT,12,26,,,,,,r ns,2023-09-03 22:45:00,2023-09-03 22:45:00
603c4ea2-1e32-4c11-b736-99c753063d9b,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-04 01:04:00,2023-09-04 02:04:00,BREAST,RIGHT,12,48,,,,,,r ns,2023-09-04 01:04:00,2023-09-04 01:04:00
1f411f60-56db-45fe-9d10-f832bc8c315b,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-04 04:54:00,2023-09-04 05:15:00,BREAST,RIGHT,,21,,,,,,,2023-09-04 04:54:00,2023-09-04 04:54:00
0f16acde-cfc4-4375-9c29-200146289c71,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-04 05:23:00,2023-09-04 05:33:00,BREAST,LEFT,10,,,,,,,,2023-09-04 05:23:00,2023-09-04 05:23:00
cda5df4a-da02-44c7-807e-abef8a372cc1,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-04 05:39:00,2023-09-04 05:47:00,BREAST,LEFT,8,,,,,,,,2023-09-04 05:39:00,2023-09-04 05:39:00
3e90b38f-aa0c-4eb4-9e75-bb5ebca99d35,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-04 07:08:00,2023-09-04 07:41:00,BREAST,LEFT,33,,,,,,,,2023-09-04 07:08:00,2023-09-04 07:08:00
f3c60ad8-80cd-47fc-b5c9-12f9633dc2cc,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-04 07:48:00,2023-09-04 08:11:00,BREAST,RIGHT,,23,,,,,,,2023-09-04 07:48:00,2023-09-04 07:48:00
25f61552-1a2b-4621-8e44-5037933769ca,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-04 09:46:00,2023-09-04 09:58:00,BREAST,RIGHT,,12,,,,,,,2023-09-04 09:46:00,2023-09-04 09:46:00
cf289b76-a273-406d-ab09-5864189f079e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-04 10:05:00,2023-09-04 10:29:00,BREAST,RIGHT,9,15,,,,,,,2023-09-04 10:05:00,2023-09-04 10:05:00
7048babc-49d3-4103-9def-83d00136f502,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-09-04 12:24:00,2023-09-04 13:02:00,BREAST,LEFT,16,22,,,,,,,2023-09-04 12:24:00,2023-09-04 12:24:00
